exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
HATS-4 b,HATS-4,1.001,0.02,0.02,1.323,0.028,0.028,2.516729,2.00E-06,2.00E-06,0.0362,0.0002,0.0002
HATS-40 b,HATS-40,1.56,0.07,0.07,1.59,0.24,0.24,3.2642736,6.00E-06,6.00E-06,0.04997,0.00074,0.00074
HATS-41 b,HATS-41,1.496,0.075,0.115,9.7,1.6,1.6,4.193649,1.30E-05,1.30E-05,0.0583,0.001,0.0015
HATS-42 b,HATS-42,1.273,0.067,0.067,1.88,0.15,0.15,2.292102,2.10E-06,2.10E-06,0.03689,0.00065,0.00065
HATS-43 b,HATS-43,0.837,0.023,0.023,0.261,0.054,0.054,4.3888497,5.90E-06,5.90E-06,0.04944,0.00046,0.00046
HATS-44 b,HATS-44,0.86,0.021,0.021,0.56,0.11,0.11,2.7439004,3.20E-06,3.20E-06,0.03649,0.0003,0.0003
HATS-45 b,HATS-45,1.272,0.048,0.048,0.7,0.15,0.15,4.1876244,5.60E-06,5.60E-06,0.05511,0.00069,0.00069
HATS-46 b,HATS-46,0.917,0.027,0.027,0.173,0.062,0.062,4.7423729,4.90E-06,4.90E-06,0.05367,0.00053,0.00053
HATS-47 b,HATS-47,0.674,0.012,0.016,0.369,0.021,0.031,3.9228038,2.20E-06,2.20E-06,0.04269,0.00025,0.00033
HATS-48A b,HATS-48A,0.7279,0.0066,0.0066,0.243,0.03,0.022,3.1316666,3.70E-06,3.70E-06,0.03769,0.00011,0.00011
HATS-49 b,HATS-49,0.7133,0.0075,0.0075,0.353,0.027,0.038,4.1480467,6.70E-06,6.70E-06,0.04515,0.00016,0.00016
HATS-5 b,HATS-5,0.936,0.028,0.028,0.237,0.012,0.012,4.763387,1.00E-05,1.00E-05,0.0542,0.0006,0.0006
HATS-50 b,HATS-50,1.168,0.042,0.042,0.39,0.1,0.1,3.8297015,4.60E-06,4.60E-06,0.05046,0.0006,0.0006
HATS-51 b,HATS-51,1.187,0.06,0.06,0.768,0.045,0.045,3.3488702,3.90E-06,3.90E-06,0.04639,0.00077,0.00077
HATS-52 b,HATS-52,1.111,0.054,0.054,2.24,0.15,0.15,1.3665436,9.40E-07,9.40E-07,0.02498,0.0004,0.0004
HATS-53 b,HATS-53,0.964,0.04,0.04,0.595,0.089,0.089,3.8537768,3.80E-06,3.80E-06,0.04753,0.00066,0.00066
HATS-54 b,HATS-54,1.05,0.05,0.05,0.753,0.057,0.057,2.5441765,2.40E-06,2.40E-06,0.037,0.001,0.001
HATS-56 b,HATS-56,1.573,0.017,0.017,0.602,0.035,0.035,4.324799,2.70E-05,2.70E-05,0.06043,0.00022,0.00022
HATS-57 b,HATS-57,1.026,0.026,0.019,3.147,0.073,0.073,2.350621,1.30E-06,1.30E-06,0.03493,0.0003,0.00021
HATS-58A b,HATS-58A,1.461,0.043,0.043,1.03,0.23,0.23,4.2180896,8.90E-06,8.90E-06,0.05798,0.00057,0.00057
HATS-59 b,HATS-59,1.038,0.039,0.039,0.806,0.069,0.069,5.416081,1.60E-05,1.60E-05,0.06112,0.0076,0.0076
HATS-6 b,HATS-6,0.574,0.027,0.02,0.319,0.07,0.07,3.3252725,2.10E-06,2.10E-06,0.03623,0.00057,0.00042
HATS-60 b,HATS-60,1.1,0.016,0.01,0.662,0.055,0.055,3.560829,3.20E-05,3.20E-05,0.04708,0.00023,0.00015
HATS-61 b,HATS-61,1.075,0.014,0.014,3.4,0.14,0.14,7.817953,2.40E-05,2.40E-05,0.07908,0.00033,0.00033
HATS-62 b,HATS-62,0.911,0.009,0.009,0.179,0.179,0,3.2768837,3.30E-06,3.30E-06,0.04163,0.00016,0.00024
HATS-63 b,HATS-63,0.931,0.019,0.019,0.96,0.12,0.12,3.0566527,4.90E-06,4.90E-06,0.04026,0.00028,0.00028
HATS-64 b,HATS-64,1.562,0.026,0.026,0.96,0.2,0.2,4.908897,1.30E-05,1.30E-05,0.06562,0.00039,0.00039
HATS-65 b,HATS-65,1.269,0.031,0.031,0.821,0.083,0.083,3.105161,1.60E-06,1.60E-06,0.04497,0.00033,0.00033
HATS-66 b,HATS-66,1.406,0.046,0.027,5.33,0.68,0.68,3.1414391,7.40E-06,7.40E-06,0.04714,0.00025,0.00025
HATS-67 b,HATS-67,1.44,0.02,0.02,1.45,0.12,0.12,1.6091788,4.00E-06,4.00E-06,0.03032,0.00015,0.00015
HATS-68 b,HATS-68,1.337,0.119,0.022,1.29,0.0592,0.0592,3.5862202,4.70E-06,4.70E-06,0.05071,0.00018,0.00018
HATS-69 b,HATS-69,0.892,0.016,0.011,0.577,0.577,0,2.2252577,1.90E-06,1.90E-06,0.03211,0.00019,0.00014
HATS-7 b,HATS-7,0.849,0.027,0.027,0.12,0.012,0.012,3.185315,5.40E-06,5.40E-06,0.04012,0.00043,0.00043
HATS-70 b,HATS-70,1.78,0.12,0.12,12.9,1.6,1.8,1.8882378,1.50E-06,1.50E-06,0.03632,0.00087,0.00074
HATS-71A b,HATS-71A,0.569,0.069,0.042,0.45,0.24,0.24,3.7955213,1.10E-06,1.10E-06,0.03946,0.00168,0.00095
HATS-72 b,HATS-72,0.7311,0.0028,0.0028,0.1254,0.0039,0.0039,7.3279474,1.60E-06,1.60E-06,0.066517,8.50E-05,8.50E-05
HATS-74A b,HATS-74A,0.6,0.008,0.008,1.46,0.14,0.14,1.73185606,5.50E-07,5.50E-07,0.02384,0.0001,0.0001
HATS-75 b,HATS-75,0.6017,0.0055,0.0074,0.491,0.039,0.039,2.7886556,1.10E-06,1.10E-06,0.032742,0.0001,0.000134
HATS-76 b,HATS-76,0.662,0.021,0.016,2.629,0.089,0.089,1.9416423,1.40E-06,1.40E-06,0.02658,0.00029,0.00021
HATS-77 b,HATS-77,0.655,0.014,0.014,1.374,0.074,0.1,3.0876262,1.60E-06,1.60E-06,0.03607,0.00025,0.00025
HATS-8 b,HATS-8,1.056,0.037,0.037,0.138,0.019,0.019,3.583893,1.00E-05,1.00E-05,0.04667,0.00055,0.00055
HATS-9 b,HATS-9,1.1,0.05,0.05,0.839,0.03,0.032,1.915291,1.80E-05,1.90E-05,0.0312,0.0005,0.0004
HD 106315 b,HD 106315,1.09,0.04,0.04,0.03964,0.01007,0.01007,9.55237,0.00089,0.00089,0.0907,0.001,0.001
HD 106315 c,HD 106315,1.09,0.04,0.04,0.04782,0.01164,0.01164,21.05704,0.00046,0.00046,0.1536,0.0017,0.0017
HD 10697 b,HD 10697,1.13,0.03,0.03,6.837,0.532,2.637,1075.69,0.82,0.82,2.14,0.088,0.088
HD 110113 b,HD 110113,0.997,0.06,0.06,0.01432,0.00195,0.00195,2.541,0.001,0.0005,0.035,0.001,0.001
HD 114082 b,HD 114082,1.47,0.07,0.07,8,1,1,109.75,0.37,0.4,0.5109,0.0083,0.0081
HD 118203 b,HD 118203,1.23,0.03,0.03,2.173,0.08,0.08,6.13498,3.80E-05,3.80E-05,0.07082,0.0011,0.00095
HD 131664 b,HD 131664,1.1,0.03,0.03,135.3,70,50,19600,4,4,3.17,0.03,0.03
HD 13724 b,HD 13724,1.14,0.06,0.06,50.5,3.3,3.3,44926,15000,15000,26.3,0.9,2.6
HD 1397 b,HD 1397,1.322,0.042,0.049,0.415,0.02,0.02,11.53533,0.0008,0.0008,0.1097,0.0013,0.0011
HD 149026 b,HD 149026,1.3,0.1,0.1,0.357,0.011,0.014,2.8758916,1.40E-06,1.40E-06,0.04288,0.00033,0.00033
HD 152843 b,HD 152843,1.15,0.04,0.04,0.03637,0.01932,0.0207,11.6264,0.0025,0.0022,0.1053,0.003,0.003
HD 164604 b,HD 164604,0.77,0.04,0.04,14.3,5.5,5.5,641.47,10.13,10.13,1.331,0.0029,0.0029
HD 168443 c,HD 168443,0.995,0.019,0.019,29.463,6.128,12.184,1749.83,0.57,0.57,2.8373,0.018,0.018
HD 17156 b,HD 17156,1.275,0.018,0.018,3.195,0.034,0.034,21.2163979,1.59E-05,1.59E-05,0.1623,0.002,0.002
HD 183579 b,HD 183579,1.031,0.026,0.026,0.0302,0.132,0.0142,17.471278,6.00E-05,6.00E-05,0.1334,0.0062,0.0062
HD 191939 b,HD 191939,0.81,0.04,0.04,0.0327,0.0028,0.0028,8.88029,2.00E-05,2.00E-05,0.078,0.004,0.004
HD 191939 c,HD 191939,0.81,0.04,0.04,0.0227,0.0044,0.0044,28.5805,0.0002,0.0002,0.17,0.002,0.002
HD 191939 d,HD 191939,0.81,0.04,0.04,0.0182,0.0182,0,38.3525,0.0003,0.0003,0.207,0.003,0.003
HD 202772 A b,HD 202772 A,1.703,0.12,0.075,1.008,0.079,0.074,3.30896,8.20E-05,8.20E-05,0.0519,0.0012,0.00075
HD 207897 b,HD 207897,0.801,0.031,0.026,0.05,0.005,0.005,16.202157,8.50E-05,8.50E-05,0.1164,0.0017,0.0017
HD 209458 b,HD 209458,1.148,0.022,0.022,0.69,0.017,0.017,3.52472,2.82E-05,2.82E-05,0.04747,0.00055,0.00055
HD 213885 b,HD 213885,1.068,0.02,0.02,0.02778,0.00208,0.00208,1.008035,2.10E-05,2.10E-05,0.02012,0.00012,0.00015
HD 219666 b,HD 219666,0.92,0.03,0.03,0.0522,0.0041,0.0041,6.03607,0.00064,0.00064,0.06356,0.00265,0.00265
HD 221416 b,HD 221416,1.212,0.074,0.074,0.1904,0.0179,0.0179,14.2767,0.0037,0.0037,0.1228,0.0026,0.0025
HD 23472 b,HD 23472,0.75,0.03,0.04,0.02618,0.00249,0.00249,17.667087,4.20E-05,4.20E-05,0.1162,0.0018,0.0018
HD 23472 c,HD 23472,0.75,0.03,0.04,0.01073,0.0025,0.00277,29.79749,0.00014,0.00014,0.1646,0.0024,0.0018
HD 23472 d,HD 23472,0.75,0.03,0.04,0.00173,0.0006,0.0006,3.97664,4.40E-05,3.00E-05,0.04298,0.00065,0.00065
HD 23472 e,HD 23472,0.75,0.03,0.04,0.00227,0.00088,0.00088,7.90754,0.00011,0.00011,0.068,0.001,0.001
HD 260655 b,HD 260655,0.439,0.011,0.011,0.00673,0.00107,0.00107,2.76953,3.00E-05,3.00E-05,0.02933,0.00024,0.00024
HD 260655 c,HD 260655,0.439,0.011,0.011,0.00972,0.00151,0.00151,5.70588,7.00E-05,7.00E-05,0.04749,0.00039,0.00039
HD 2685 b,HD 2685,1.44,0.02,0.02,1.18,0.09,0.09,4.12692,4.00E-05,4.00E-05,0.0568,0.0002,0.0003
HD 28109 b,HD 28109,1.26,0.08,0.08,0.058195,0.025,0.028,22.89104,0.00036,0.00036,0.1357,0.0034,0.0034
HD 3167 b,HD 3167,0.94,0.04,0.04,0.0158,0.0012,0.0012,0.959624,2.80E-05,2.80E-05,0.0186,0.0003,0.0003
HD 3167 c,HD 3167,0.94,0.04,0.04,0.0308,0.0039,0.00409,29.83832,0.003199,0.002905,0.1841,0.0028,0.0027
HD 332231 b,HD 332231,1.127,0.077,0.077,0.244,0.021,0.021,18.71204,0.00043,0.00043,0.1436,0.0033,0.0032
HD 33632 A b,HD 33632 A,1.03,0.04,0.04,50,5,5.6,39082,10230,7670,23.6,4.5,3.2
HD 38529 b,HD 38529,1.48,0.05,0.05,0.93,0.11,0.21,14.3104,0.0002,0.0002,0.131,0.0015,0.0015
HD 38529 c,HD 38529,1.48,0.05,0.05,23.7,3.1,4.1,2134.76,0.4,0.4,3.695,0.043,0.043
HD 4747 b,HD 4747,0.82,0.04,0.04,66.6,3.5,3.5,12090,256,256,16.4,3.3,3.9
HD 5278 b,HD 5278,1.126,0.036,0.036,0.0245,0.0044,0.0044,14.33902,7.00E-05,7.00E-05,0.12,0.0031,0.0031
HD 73583 b,HD 73583,0.66,0.02,0.02,0.0321,0.0098,0.0107,6.398042,6.50E-06,6.50E-06,0.0604,0.0026,0.0026
HD 73583 c,HD 73583,0.66,0.02,0.02,0.0302,0.0057,0.0057,18.8805,0.0011,0.0024,0.1233,0.0015,0.0015
HD 80606 b,HD 80606,0.98,0.1,0.1,4.1641,0.0047,0.0047,111.436765,7.40E-05,7.40E-05,0.4603,0.0021,0.0021
HD 80653 b,HD 80653,1.18,0.04,0.04,0.01762,0.00135,0.00135,0.719573,2.10E-05,2.10E-05,0.0166,0.0003,0.0003
HD 85628 A b,HD 85628 A,1.75,0.05,0.05,3.1,0.9,0.9,2.82406,3.00E-05,3.00E-05,0.047,0.004,0.004
HD 87883 b,HD 87883,0.82,0.04,0.04,81.9,71.9,173.9,2754,87,87,3.6,0.08,0.08
HD 89345 b,HD 89345,1.12,0.01,0.04,0.1123,0.0104,0.0104,11.81399,0.00086,0.00086,0.105,0.0013,0.0013
HD 89744 b,HD 89744,1.4,0.09,0.09,10.32,1.38,2.43,256.78,0.02,0.02,0.917,0.009,0.009
HD 95338 b,HD 95338,0.76,0.1,0.16,0.12406,0.01299,0.019,55.086,0.019,0.019,0.231,0.009,0.005
HD 97658 b,HD 97658,0.85,0.02,0.02,0.02457,0.00138,0.00173,9.489295,5.00E-06,5.00E-06,0.08,0.018,0.0017
HIP 116454 b,HIP 116454,0.775,0.027,0.027,0.0372,0.00419,0.00419,9.1265,0.0005,0.0005,0.098,0.003,0.003
HIP 21152 b,HIP 21152,1.44,0.002,0.002,24,4,6,21550,5845,11320,17,4,5
HIP 65A b,HIP 65A,0.781,0.027,0.027,3.213,0.078,0.078,0.9809734,3.10E-06,3.10E-06,0.01782,0.00021,0.00021
HIP 75458 b,HIP 75458,1.4,0.2,0.2,16.4,4,9.3,510.855,0.014,0.014,1.448,0.029,0.029
HIP 75458 c,HIP 75458,1.4,0.2,0.2,17,5.4,13,24840,13150,22000,19.4,7.7,10
HIP 97166 b,HIP 97166,0.898,0.054,0.054,0.063,0.0047,0.0047,10.28891,4.00E-05,4.00E-05,0.089,0.001,0.001
HW Vir (AB) b,HW Vir (AB),0.627,0.013,0.013,39,17,17,9750,73,73,4.69,0.06,0.06
HW Vir (AB) c,HW Vir (AB),0.627,0.013,0.013,40,14,14,17000,9000,9000,12.8,0.2,0.2
K2-105 b,K2-105,0.99,0.03,0.03,0.094,0.06,0.06,8.267704,0.000318,0.00035,0.0796,0.0007,0.0007
K2-106 b,EPIC 220674823,0.97,0.04,0.04,0.0263,0.003,0.003,0.571331,2.10E-05,2.00E-05,0.0134,0.0002,0.0002
K2-106 c,EPIC 220674823,0.97,0.04,0.04,0.018,0.0094,0.01,13.339079,0.001859,0.00194,0.1091,0.0015,0.0014
K2-107 b,K2-107,1.3,0.14,0.14,0.84,0.08,0.08,3.313959,2.40E-05,2.40E-05,0.0475,0.0006,0.0006
K2-108 b,K2-108,1.17,0.06,0.06,0.187,0.014,0.014,4.733999,0.000227,0.000221,0.0581,0.0009,0.0009
K2-110 b,K2-110,0.75,0.02,0.02,0.0525,0.01,0.01,13.86387,0.000329,0.000325,0.1027,0.0011,0.0011
K2-111 b,K2-111,0.84,0.02,0.02,0.01664,0.00242,0.00239,5.3518,0.0004,0.0004,0.057,0.0012,0.0012
K2-113 b,K2-113,1.04,0.04,0.04,1.28,0.12,0.12,5.817685,4.10E-05,4.10E-05,0.0642,0.0009,0.0009
K2-114 b,K2-114,0.89,0.03,0.03,1.85,0.23,0.22,11.391013,0.000225,0.000224,0.0954,0.0011,0.0011
K2-124 b,K2-124,0.39,0.04,0.01,0.033,0.0082,0.0082,6.413651,3.10E-05,3.60E-05,0.049,0.002,0.002
K2-132 b,K2-132,1.08,0.08,0.08,0.49,0.06,0.06,9.1751,0.0027,0.0023,0.0916,0.0006,0.0006
K2-138 b,K2-138,0.93,0.06,0.06,0.0098,0.0035,0.0035,2.35322,0.00036,0.00036,0.0338,0.00024,0.00024
K2-138 c,K2-138,0.93,0.06,0.06,0.0198,0.0038,0.0038,3.55987,0.00022,0.00023,0.04454,0.00032,0.00032
K2-138 d,K2-138,0.93,0.06,0.06,0.0249,0.0044,0.0044,5.40478,0.00046,0.00048,0.05883,0.00042,0.00042
K2-138 e,K2-138,0.93,0.06,0.06,0.0409,0.006,0.006,8.26144,0.00044,0.00045,0.07807,0.00056,0.00056
K2-138 f,K2-138,0.93,0.06,0.06,0.005,0.0038,0.0066,12.75759,0.00092,0.00092,0.1043,0.00075,0.00074
K2-138 g,K2-138,0.93,0.06,0.06,0.0135,0.009,0.0167,41.96797,0.00725,0.00843,0.231,0.00196,0.00154
K2-139 b,K2-139,0.96,0.02,0.02,0.381,0.045,0.045,28.380619,0.000528,0.000551,0.1796,0.0015,0.0015
K2-140 b,K2-140,1,0.02,0.02,0.93,0.04,0.04,6.56918,4.00E-05,4.00E-05,0.0687,0.0005,0.0005
K2-146 b,K2-146,0.33,0.01,0.01,0.01816,0.00024,0.00024,2.6446,6.00E-05,6.00E-05,0.027,0.001,0.001
K2-146 c,K2-146,0.33,0.01,0.01,0.02358,0.00031,0.00031,4.00498,0.00011,0.00011,0.034,0.001,0.001
K2-155 b,K2-155,0.65,0.03,0.06,0.0148,0.0009,0.0016,6.342,0.002,0.002,0.0562,0.0014,0.0013
K2-155 c,K2-155,0.65,0.03,0.06,0.0205,0.0016,0.0047,13.85,0.006,0.006,0.0946,0.003,0.0031
K2-155 d,K2-155,0.65,0.03,0.06,0.0154,0.0019,0.0053,40.718,0.005,0.005,0.1937,0.0059,0.0064
K2-174 b,K2-174,0.7,0.025,0.025,0.0289,0.0079,0.0079,19.562307,7.80E-05,7.80E-05,0.126,0.001,0.001
K2-18 b,K2-18,0.36,0.05,0.05,0.02807,0.00503,0.00535,32.939623,0.0001,9.50E-05,0.1429,0.0065,0.006
K2-180 b,K2-180,0.72,0.03,0.03,0.036,0.006,0.006,8.867209,0.001016,0.001068,0.0753,0.001,0.001
K2-182 b,K2-182,0.88,0.02,0.02,0.063,0.016,0.016,4.7369683,2.30E-06,2.30E-06,0.0526,0.0003,0.0003
K2-19 b,K2-19,0.93,0.05,0.05,0.1019,0.0053,0.0053,7.9194,5.00E-05,5.00E-05,0.074,0.0012,0.0012
K2-19 c,K2-19,0.93,0.05,0.05,0.034,0.0019,0.0019,11.90715,0.0015,0.0015,0.0971,0.0016,0.0016
K2-19 d,K2-19,0.93,0.05,0.05,0.031,0.031,0,2.50856,0.00041,0.00041,0.0344,0.0006,0.0006
K2-199 b,K2-199,0.73,0.02,0.02,0.0217,0.0057,0.0057,3.2253993,2.40E-06,2.40E-06,0.0382,0.0004,0.0004
K2-199 c,K2-199,0.73,0.02,0.02,0.039,0.0072,0.0072,7.3744897,3.70E-06,3.70E-06,0.0662,0.0007,0.0007
K2-216 b,K2-216,0.7,0.03,0.03,0.02517,0.00503,0.00503,2.1748,5.00E-05,5.00E-05,0.028,0.007,0.004
K2-22 b,K2-22,0.6,0.07,0.07,1.4,1.4,0,0.381078,1.00E-06,1.00E-06,0.0088,0.0008,0.0008
K2-222 b,K2-222,1,0.04,0.04,0.025,0.0057,0.0057,15.3885,0.00066,0.00066,0.1211,0.0017,0.0016
K2-229 b,K2-229,0.87,0.01,0.01,0.00815,0.00135,0.00135,0.58426,2.00E-05,2.00E-05,0.0131,0,0
K2-229 c,K2-229,0.87,0.01,0.01,0.067,0.067,0,8.32727,0.00043,0.00041,0.0769,0.0003,0.0003
K2-229 d,K2-229,0.87,0.01,0.01,0.079,0.079,0,31,1.1,1.1,0.182,0.0042,0.0042
K2-232 b,K2-232,1.19,0.03,0.03,0.398,0.037,0.037,11.168454,2.30E-05,2.30E-05,0.10356,0.00077,0.00081
K2-233 b,K2-233,0.8,0.03,0.03,0.0104,0.0069,0.009,2.46746,0.00014,0.00014,0.03317,0.00045,0.00044
K2-233 d,K2-233,0.8,0.03,0.03,0.0261,0.0148,0.0164,24.3662,0.0021,0.0021,0.1527,0.0021,0.002
K2-237 b,K2-237,1.23,0.05,0.05,1.236,0.044,0.044,2.1805577,5.70E-06,5.70E-06,0.0353,0.0012,0.0012
K2-238 b,K2-238,1.19,0.08,0.08,0.86,0.12,0.13,3.20466,3.00E-05,3.00E-05,0.046,0.006,0.007
K2-239 b,K2-239,0.4,0.01,0.01,0.0044,0.0013,0.0013,5.24,0.001,0.001,0.0441,0.0008,0.0008
K2-239 c,K2-239,0.4,0.01,0.01,0.0028,0.0009,0.0009,7.775,0.001,0.001,0.0576,0.0009,0.0009
K2-239 d,K2-239,0.4,0.01,0.01,0.0041,0.0013,0.0013,10.115,0.001,0.001,0.0685,0.0012,0.0012
K2-24 b,K2-24,1.07,0.06,0.06,0.05978,0.00661,0.00692,20.88977,0.00035,0.00034,0.154,0.002,0.002
K2-24 c,K2-24,1.07,0.06,0.06,0.04845,0.00566,0.00598,42.3391,0.0012,0.0012,0.247,0.004,0.004
K2-240 b,K2-240,0.58,0.01,0.01,0.0157,0.0006,0.0016,6.034,0.001,0.001,0.0513,0.0009,0.0009
K2-240 c,K2-240,0.58,0.01,0.01,0.0145,0.0009,0.0022,20.523,0.001,0.001,0.1159,0.002,0.002
K2-260 b,K2-260,1.39,0.06,0.06,1.42,0.32,0.31,2.6266657,1.80E-06,2.00E-06,0.0404,0.0016,0.0013
K2-261 b,K2-261,1.1,0.02,0.01,0.223,0.031,0.031,11.63344,0.00012,0.00012,0.102,0.02,0.019
K2-263 b,K2-263,0.88,0.03,0.03,0.0466,0.0098,0.0098,50.818947,9.40E-05,9.40E-05,0.2573,0.0029,0.0029
K2-265 b,K2-265,0.92,0.02,0.02,0.02058,0.00264,0.00264,2.369172,8.90E-05,8.90E-05,0.03376,0.00021,0.00021
K2-266 b,K2-266,0.69,0.03,0.03,0.0355,0.02053,0.03601,0.658524,1.70E-05,1.70E-05,0.01306,0.00021,0.0002
K2-266 c,K2-266,0.69,0.03,0.03,0.00091,0.00035,0.00053,7.814,0.0015,0.0018,0.0679,0.0011,0.0011
K2-266 d,K2-266,0.69,0.03,0.03,0.028,0.01196,0.01793,14.697,0.00035,0.00034,0.1035,0.0017,0.0016
K2-266 e,K2-266,0.69,0.03,0.03,0.04499,0.01573,0.02014,19.482,0.0012,0.0012,0.1249,0.002,0.0019
K2-27 b,K2-27,0.87,0.02,0.03,0.09722,0.01447,0.01447,6.771315,8.50E-05,8.50E-05,0.06702,0.00071,0.00071
K2-280 b,K2-280,1.11,0.04,0.04,0.1167,0.0176,0.0176,19.895202,0.000753,0.000774,0.1488,0.002,0.0019
K2-285 b,K2-285,0.83,0.023,0.023,0.03046,0.00431,0.00381,3.471745,4.60E-05,4.40E-05,0.03817,0.00092,0.00095
K2-285 c,K2-285,0.83,0.023,0.023,0.04933,0.0067,0.00717,7.138048,6.30E-05,7.20E-05,0.0824,0.0018,0.0018
K2-286 b,K2-286,0.64,0.02,0.02,0.0214,0.0135,0.0135,27.359,0.005,0.005,0.1768,0.0205,0.0175
K2-287 b,K2-287,1.06,0.02,0.02,0.315,0.027,0.027,14.893291,2.50E-05,2.50E-05,0.1206,0.0008,0.0008
K2-289 b,K2-289,0.95,0.05,0.04,0.1529,0.0585,0.0585,13.156969,5.10E-05,4.70E-05,0.107,0.001,0.001
K2-29 b,K2-29,0.94,0.02,0.02,0.73,0.04,0.04,3.2588321,1.90E-06,1.90E-06,0.04217,0.00024,0.00024
K2-290 c,K2-290,1.19,0.08,0.07,0.774,0.047,0.047,48.36685,0.0004,0.0004,0.305,0.017,0.017
K2-291 b,K2-291,0.93,0.04,0.04,0.02042,0.00365,0.00365,2.225177,6.80E-05,6.60E-05,0.03261,0.00044,0.00044
K2-292 b,K2-292,1,0.03,0.03,0.07709,0.01384,0.01384,16.9841,0.0008,0.0008,0.13,0.01,0.01
K2-295 b,K2-295,0.74,0.04,0.04,0.335,0.062,0.062,4.024867,1.50E-05,1.50E-05,0.0451,0.0014,0.0006
K2-3 b,K2-3,0.6,0.09,0.09,0.02039,0.00293,0.00311,10.054626,1.10E-05,1.00E-05,0.0775,0.0039,0.0039
K2-3 c,K2-3,0.6,0.09,0.09,0.00673,0.00327,0.0034,24.646582,4.00E-05,4.00E-05,0.1405,0.0067,0.0067
K2-30 b,K2-30,0.9,0.04,0.04,0.579,0.027,0.028,4.098503,1.10E-05,1.10E-05,0.04839,0.00076,0.00076
K2-31 b,K2-31 ,0.91,0.06,0.06,1.774,0.079,0.079,1.25785,2.00E-06,2.00E-06,0.022,0.0018,0.0018
K2-314 b,EPIC 249893012,1.05,0.05,0.05,0.02753,0.00343,0.00343,3.5951,0.0003,0.0003,0.047,0.007,0.005
K2-314 c,EPIC 249893012,1.05,0.05,0.05,0.04616,0.00595,0.00595,15.624,0.001,0.001,0.13,0.02,0.01
K2-314 d,EPIC 249893012,1.05,0.05,0.05,0.03203,0.00761,0.00774,35.747,0.005,0.005,0.22,0.04,0.02
K2-32 b,K2-32,0.86,0.03,0.03,0.047,0.0057,0.0057,8.991828,8.40E-05,8.30E-05,0.08035,0.00089,0.00089
K2-32 c,K2-32,0.86,0.03,0.03,0.0255,0.0076,0.0076,20.66186,0.00098,0.00102,0.1399,0.0016,0.0016
K2-32 d,K2-32,0.86,0.03,0.03,0.0211,0.0079,0.0079,31.7142,0.001,0.0011,0.1862,0.0021,0.0021
K2-32 e,K2-32,0.86,0.03,0.03,0.0066,0.0041,0.0041,4.34882,0.00075,0.00069,0.04951,0.00055,0.00055
K2-34 b,K2-34,1.15,0.04,0.04,1.78,0.13,0.13,2.995633,8.00E-06,8.00E-06,0.0426,0.0005,0.0005
K2-36 b,K2-36,0.79,0.01,0.01,0.01227,0.00346,0.00346,1.422614,3.80E-05,3.80E-05,0.0223,0.0004,0.0004
K2-36 c,K2-36,0.79,0.01,0.01,0.02454,0.00724,0.00724,5.3410507,2.57E-05,2.57E-05,0.054,0.001,0.001
K2-38 b,K2-38,2.24,1.67,1.67,0.06,0.03,0.03,4.01593,0.0005,0.0005,0.04994,0.00049,0.00049
K2-38 c,K2-38,2.24,1.67,1.67,0.03115,0.01447,0.01447,10.56103,0.0009,0.0009,0.0964,0.0016,0.0016
K2-39 b,K2-39,0.66,0.56,0.56,0.09,0.05,0.05,4.60543,0.00046,0.00046,0.062,0.012,0.01
K2-53 b,K2-53,0.85,0.04,0.03,0.0289,0.0079,0.0079,12.20772,0.000113,0.000123,0.098,0.001,0.001
K2-55 b,K2-55,0.7,0.05,0.05,0.138,0.0167,0.0167,2.849258,3.30E-05,3.30E-05,0.03486,0.00078,0.00078
K2-60 b,K2-60,0.97,0.07,0.07,0.426,0.037,0.037,3.00265,4.00E-05,4.00E-05,0.045,0.003,0.003
K2-66 b,K2-66,1.11,0.04,0.04,0.06702,0.01133,0.01133,5.06963,0.00081,0.00081,0.05983,0.00072,0.00072
K2-79 b,K2-79,1.06,0.04,0.04,0.0371,0.0113,0.0113,10.99475,0.00047,0.00047,0.0987,0.0012,0.0012
K2-87 b,K2-87,1.16,0.04,0.04,0.1192,0.04,0.04,9.726618,5.50E-05,5.50E-05,0.094,0.001,0.001
K2-90 b,K2-90,0.63,0.02,0.02,0.028,0.0079,0.0079,13.733314,9.90E-05,8.30E-05,0.096,0.001,0.001
K2-95 b,K2-95,0.44,0.01,0.01,1.67,1.66,0,10.134016,0.001143,0.001132,0.0696,0.0006,0.0006
K2-97 b,K2-97,1.2,0.05,0.05,1.1,0.11,0.11,8.406726,0.001827,0.001863,0.086,0.0011,0.0011
K2-98 b,K2-98,1.2,0.03,0.03,0.101,0.025,0.025,10.136448,0.000591,0.000609,0.0974,0.0009,0.0009
K2-99 b,K2-99,1.63,0.04,0.04,0.87,0.02,0.02,18.24783,3.00E-05,3.00E-05,0.153,0.001,0.001
KELT-1 b,KELT-1,1.335,0.063,0.063,27.23,0.48,0.5,1.217514,1.50E-05,1.50E-05,0.02472,0.00039,0.00039
KELT-10 b,KELT-10,1.112,0.061,0.055,0.679,0.039,0.039,4.166285,5.70E-05,5.70E-05,0.0525,0.00097,0.00086
