date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
4/1/2021,2713563,58784,54833.286,98343,896,806,40195.612,870.759,812.237,1456.74,13.272,11.939,1.17
5/1/2021,2774479,60916,55944.857,99316,973,843.143,41097.952,902.34,828.703,1471.153,14.413,12.489,1.15
6/1/2021,2836801,62322,57701.857,100330,1014,879.429,42021.119,923.167,854.729,1486.174,15.02,13.027,1.13
7/1/2021,2889419,52618,57234.143,101386,1056,912.571,42800.541,779.423,847.801,1501.816,15.642,13.518,1.11
8/1/2021,2957472,68053,59343.857,102438,1052,947.286,43808.6,1008.059,879.052,1517.399,15.583,14.032,1.09
9/1/2021,3017409,59937,59660,103532,1094,984.571,44696.438,887.838,883.735,1533.604,16.205,14.584,1.06
10/1/2021,3072349,54940,59652.857,104705,1173,1036.857,45510.257,813.818,883.629,1550.98,17.375,15.359,1.04
11/1/2021,3118518,46169,57850.714,105949,1244,1086.571,46194.151,683.895,856.934,1569.407,18.427,16.095,1.02
12/1/2021,3164051,45533,55653.143,107269,1320,1136.143,46868.625,674.474,824.382,1588.96,19.553,16.83,0.99
13/1/2021,3211576,47525,53539.286,108578,1309,1178.286,47572.606,703.981,793.07,1608.35,19.39,17.454,0.97
14/1/2021,3260258,48682,52977,109919,1341,1219,48293.725,721.119,784.741,1628.214,19.864,18.057,0.95
15/1/2021,3316019,55761,51221,111243,1324,1257.857,49119.705,825.98,758.729,1647.826,19.612,18.632,0.93
16/1/2021,3357361,41342,48564.571,112662,1419,1304.286,49732.098,612.393,719.38,1668.846,21.019,19.32,0.92
17/1/2021,3395959,38598,46230,114023,1361,1331.143,50303.844,571.747,684.798,1689.006,20.16,19.718,0.9
18/1/2021,3433494,37535,44996.571,115424,1401,1353.571,50859.845,556,666.528,1709.759,20.753,20.05,0.89
19/1/2021,3466849,33355,43256.857,116914,1490,1377.857,51353.927,494.083,640.758,1731.83,22.071,20.41,0.87
20/1/2021,3505754,38905,42025.429,118297,1383,1388.429,51930.222,576.294,622.517,1752.316,20.486,20.567,0.86
21/1/2021,3543646,37892,40484,119647,1350,1389.714,52491.51,561.289,599.684,1772.314,19.997,20.586,0.84
22/1/2021,3583907,40261,38269.714,120982,1335,1391.286,53087.89,596.38,566.884,1792.089,19.775,20.609,0.83
23/1/2021,3617459,33552,37156.857,122270,1288,1372.571,53584.891,497.001,550.399,1811.168,19.079,20.332,0.82
24/1/2021,3647463,30004,35929.143,123509,1239,1355.143,54029.336,444.445,532.213,1829.521,18.353,20.074,0.8
25/1/2021,3669658,22195,33737.714,124772,1263,1335.429,54358.107,328.771,499.752,1848.229,18.709,19.782,0.79
26/1/2021,3689746,20088,31842.429,125945,1173,1290.143,54655.668,297.561,471.677,1865.605,17.375,19.111,0.79
27/1/2021,3715054,25308,29900,127177,1232,1268.571,55030.552,374.884,442.904,1883.854,18.249,18.791,0.78
28/1/2021,3743734,28680,28584,128401,1224,1250.571,55455.384,424.833,423.411,1901.985,18.131,18.525,0.77
29/1/2021,3772813,29079,26986.571,129561,1160,1225.571,55886.127,430.743,399.748,1919.168,17.183,18.154,0.77
30/1/2021,3796088,23275,25518.429,130587,1026,1188.143,56230.897,344.769,378.001,1934.366,15.198,17.6,0.76
31/1/2021,3817176,21088,24244.714,131582,995,1153.286,56543.27,312.373,359.133,1949.105,14.739,17.083,0.76
1/2/2021,3835783,18607,23732.143,132589,1007,1116.714,56818.893,275.623,351.541,1964.021,14.917,16.542,0.75
2/2/2021,3852623,16840,23268.143,133552,963,1086.714,57068.341,249.448,344.668,1978.286,14.265,16.097,0.75
3/2/2021,3871825,19202,22395.857,134528,976,1050.143,57352.778,284.436,331.747,1992.744,14.457,15.556,0.75
4/2/2021,3892459,20634,21246.429,135354,826,993.286,57658.426,305.648,314.72,2004.979,12.235,14.713,0.74
5/2/2021,3911573,19114,19822.857,136228,874,952.429,57941.559,283.133,293.633,2017.925,12.946,14.108,0.74
6/2/2021,3929835,18262,19106.714,137015,787,918.286,58212.071,270.512,283.025,2029.583,11.658,13.602,0.74
7/2/2021,3945680,15845,18357.714,137768,753,883.714,58446.781,234.71,271.93,2040.737,11.154,13.09,0.74
8/2/2021,3959784,14104,17714.429,138549,781,851.429,58655.702,208.92,262.401,2052.306,11.569,12.612,0.74
9/2/2021,3972148,12364,17075,139272,723,817.143,58838.848,183.146,252.929,2063.016,10.71,12.104,0.74
10/2/2021,3985161,13013,16190.857,139984,712,779.429,59031.607,192.76,239.833,2073.563,10.547,11.546,0.74
11/2/2021,3998655,13494,15170.857,140660,676,758,59231.492,199.885,224.724,2083.576,10.013,11.228,0.74
12/2/2021,4013799,15144,14603.714,141296,636,724,59455.818,224.326,216.323,2092.997,9.421,10.725,0.74
13/2/2021,4027106,13307,13895.857,141882,586,695.286,59652.932,197.115,205.837,2101.677,8.68,10.299,0.74
14/2/2021,4038078,10972,13199.714,142487,605,674.143,59815.459,162.527,195.525,2110.639,8.962,9.986,0.74
15/2/2021,4047843,9765,12579.857,143102,615,650.429,59960.107,144.648,186.344,2119.749,9.11,9.635,0.75
16/2/2021,4058468,10625,12331.429,143670,568,628.286,60117.493,157.387,182.664,2128.163,8.414,9.307,0.75
17/2/2021,4071185,12717,12289.143,144176,506,598.857,60305.868,188.375,182.037,2135.658,7.495,8.871,0.75
18/2/2021,4083242,12057,12083.857,144697,521,576.714,60484.467,178.599,178.996,2143.376,7.717,8.543,0.76
19/2/2021,4095269,12027,11638.571,145166,469,552.857,60662.621,178.154,172.4,2150.323,6.947,8.189,0.76
20/2/2021,4105675,10406,11224.143,145618,452,533.714,60816.764,154.143,166.262,2157.018,6.695,7.906,0.76
21/2/2021,4115509,9834,11061.571,146029,411,506,60962.433,145.67,163.853,2163.106,6.088,7.495,0.76
22/2/2021,4126150,10641,11186.714,146408,379,472.286,61120.057,157.624,165.707,2168.72,5.614,6.996,0.76
23/2/2021,4134639,8489,10881.571,146789,381,445.571,61245.803,125.746,161.187,2174.364,5.644,6.6,0.76
24/2/2021,4144577,9938,10484.571,147156,367,425.714,61393.013,147.21,155.306,2179.8,5.436,6.306,0.76
25/2/2021,4154562,9985,10188.571,147511,355,402,61540.92,147.906,150.922,2185.059,5.259,5.955,0.76
26/2/2021,4163085,8523,9688,147815,304,378.429,61667.17,126.25,143.507,2189.562,4.503,5.606,0.76
27/2/2021,4170519,7434,9263.429,148123,308,357.857,61777.288,110.119,137.218,2194.124,4.562,5.301,0.75
28/2/2021,4176554,6035,8720.714,148404,281,339.286,61866.684,89.396,129.179,2198.287,4.162,5.026,0.76
1/3/2021,4182009,5455,7979.857,148701,297,327.571,61947.488,80.804,118.204,2202.686,4.399,4.852,0.76
2/3/2021,4188400,6391,7680.143,148945,244,308,62042.157,94.669,113.765,2206.301,3.614,4.562,0.76
3/3/2021,4194785,6385,7172.571,149163,218,286.714,62136.737,94.58,106.246,2209.53,3.229,4.247,0.76
4/3/2021,4201358,6573,6685.143,149397,234,269.429,62234.102,97.365,99.026,2212.996,3.466,3.991,0.77
5/3/2021,4207304,5946,6317,149619,222,257.714,62322.179,88.077,93.573,2216.284,3.288,3.817,0.78
6/3/2021,4213343,6039,6117.714,149829,210,243.714,62411.634,89.455,90.621,2219.395,3.111,3.61,0.79
7/3/2021,4218520,5177,5995.143,150026,197,231.714,62488.32,76.686,88.805,2222.313,2.918,3.432,0.79
8/3/2021,4223232,4712,5889,150223,197,217.429,62558.118,69.798,87.233,2225.231,2.918,3.221,0.8
9/3/2021,4228998,5766,5799.714,150408,185,209,62643.529,85.411,85.91,2227.972,2.74,3.096,0.81
10/3/2021,4234924,5926,5734.143,150571,163,201.143,62731.31,87.781,84.939,2230.386,2.414,2.979,0.82
11/3/2021,4241677,6753,5759.857,150744,173,192.429,62831.341,100.031,85.32,2232.949,2.563,2.85,0.83
12/3/2021,4248286,6609,5854.571,150879,135,180,62929.239,97.898,86.723,2234.949,2,2.666,0.84
13/3/2021,4253820,5534,5782.429,151014,135,169.286,63011.214,81.974,85.654,2236.948,2,2.508,0.84
14/3/2021,4258438,4618,5702.571,151152,138,160.857,63079.62,68.406,84.471,2238.992,2.044,2.383,0.85
15/3/2021,4263527,5089,5756.429,151291,139,152.571,63155.002,75.383,85.269,2241.051,2.059,2.26,0.85
16/3/2021,4268821,5294,5689,151405,114,142.429,63233.421,78.419,84.27,2242.74,1.689,2.11,0.86
17/3/2021,4274579,5758,5665,151532,127,137.286,63318.714,85.292,83.915,2244.621,1.881,2.034,0.86
18/3/2021,4280882,6303,5600.714,151632,100,126.857,63412.079,93.365,82.963,2246.103,1.481,1.879,0.87
19/3/2021,4285684,4802,5342.571,151736,104,122.429,63483.211,71.131,79.139,2247.643,1.541,1.814,0.87
20/3/2021,4291271,5587,5350.143,151837,101,117.571,63565.97,82.759,79.251,2249.139,1.496,1.742,0.87
21/3/2021,4296583,5312,5449.286,151964,127,116,63644.656,78.686,80.719,2251.021,1.881,1.718,0.88
22/3/2021,4301925,5342,5485.429,152072,108,111.571,63723.786,79.13,81.255,2252.62,1.6,1.653,0.88
23/3/2021,4307304,5379,5497.571,152167,95,108.857,63803.464,79.678,81.435,2254.028,1.407,1.612,0.88
24/3/2021,4312908,5604,5475.571,152237,70,100.714,63886.476,83.011,81.109,2255.064,1.037,1.492,0.87
25/3/2021,4319128,6220,5463.714,152316,79,97.714,63978.612,92.136,80.933,2256.235,1.17,1.447,0.87
26/3/2021,4325315,6187,5661.571,152391,75,93.571,64070.259,91.647,83.864,2257.346,1.111,1.386,0.86
27/3/2021,4329180,3865,5415.571,152456,65,88.429,64127.51,57.252,80.22,2258.308,0.963,1.31,0.86
28/3/2021,4333042,3862,5208.429,152506,50,77.429,64184.718,57.207,77.152,2259.049,0.741,1.147,0.85
29/3/2021,4337696,4654,5110.143,152577,71,72.143,64253.657,68.939,75.696,2260.101,1.052,1.069,0.84
30/3/2021,4341736,4040,4918.857,152633,56,66.571,64313.501,59.844,72.862,2260.93,0.83,0.986,0.84
31/3/2021,4345788,4052,4697.143,152707,74,67.143,64373.522,60.022,69.578,2262.026,1.096,0.995,0.83
1/4/2021,4350266,4478,4448.286,152770,63,64.857,64439.854,66.332,65.892,2262.96,0.933,0.961,0.83
2/4/2021,4353668,3402,4050.429,152820,50,61.286,64490.248,50.393,59.998,2263.7,0.741,0.908,0.82
3/4/2021,4357091,3423,3987.286,152862,42,58,64540.952,50.704,59.063,2264.322,0.622,0.859,0.82
4/4/2021,4359388,2297,3763.714,152915,53,58.429,64574.977,34.025,55.751,2265.108,0.785,0.865,0.82
5/4/2021,4362150,2762,3493.429,152960,45,54.714,64615.89,40.913,51.748,2265.774,0.667,0.81,0.82
6/4/2021,4364529,2379,3256.143,153005,45,53.143,64651.13,35.24,48.233,2266.441,0.667,0.787,0.82
7/4/2021,4367291,2762,3071.857,153051,46,49.143,64692.043,40.913,45.503,2267.122,0.681,0.728,0.83
8/4/2021,4370321,3030,2865,153113,62,49,64736.926,44.883,42.439,2268.04,0.918,0.726,0.83
9/4/2021,4365461,,,153151,38,47.286,64664.936,,,2268.603,0.563,0.7,0.84
10/4/2021,4368045,2584,2259.143,153194,43,47.429,64703.212,38.276,33.464,2269.24,0.637,0.703,0.85
11/4/2021,4369775,1730,2178.143,153235,41,45.714,64728.838,25.626,32.265,2269.848,0.607,0.677,0.86
12/4/2021,4373343,3568,2293.286,153273,38,44.714,64781.691,52.852,33.97,2270.411,0.563,0.662,0.87
13/4/2021,4375814,2471,2306.429,153320,47,45,64818.293,36.603,34.165,2271.107,0.696,0.667,0.88
14/4/2021,4378305,2491,2267.714,153355,35,43.429,64855.192,36.899,33.591,2271.625,0.518,0.643,0.88
15/4/2021,4380976,2671,2216.429,153398,43,40.714,64894.757,39.565,32.832,2272.262,0.637,0.603,0.89
16/4/2021,4383732,2756,2610.143,153430,32,39.857,64935.581,40.824,38.664,2272.736,0.474,0.59,0.89
17/4/2021,4385938,2206,2556.143,153473,43,39.857,64968.258,32.677,37.864,2273.373,0.637,0.59,0.9
18/4/2021,4387820,1882,2577.857,153504,31,38.429,64996.136,27.878,38.185,2273.832,0.459,0.569,0.9
19/4/2021,4390783,2963,2491.429,153527,23,36.286,65040.027,43.89,36.905,2274.173,0.341,0.537,0.91
20/4/2021,4393307,2524,2499,153562,35,34.571,65077.414,37.388,37.017,2274.691,0.518,0.512,0.91
21/4/2021,4395703,2396,2485.429,153598,36,34.714,65112.906,35.492,36.816,2275.225,0.533,0.514,0.91
22/4/2021,4398431,2728,2493.571,153631,33,33.286,65153.315,40.409,36.937,2275.714,0.489,0.493,0.92
23/4/2021,4401109,2678,2482.429,153660,29,32.857,65192.984,39.669,36.772,2276.143,0.43,0.487,0.92
24/4/2021,4403170,2061,2461.714,153684,24,30.143,65223.514,30.529,36.465,2276.499,0.356,0.447,0.92
25/4/2021,4404882,1712,2437.429,153711,27,29.571,65248.873,25.36,36.105,2276.899,0.4,0.438,0.92
26/4/2021,4406946,2064,2309,153732,21,29.286,65279.447,30.574,34.203,2277.21,0.311,0.434,0.93
27/4/2021,4409631,2685,2332,153757,25,27.857,65319.219,39.773,34.544,2277.58,0.37,0.413,0.93
28/4/2021,4411797,2166,2299.143,153778,21,25.714,65351.304,32.085,34.057,2277.891,0.311,0.381,0.94
29/4/2021,4414242,2445,2258.714,153795,17,23.429,65387.521,36.217,33.458,2278.143,0.252,0.347,0.94
30/4/2021,4416623,2381,2216.286,153811,16,21.571,65422.791,35.269,32.83,2278.38,0.237,0.32,0.94
1/5/2021,4418530,1907,2194.286,153827,16,20.429,65451.039,28.248,32.504,2278.617,0.237,0.303,0.95
2/5/2021,4420201,1671,2188.429,153846,19,19.286,65475.791,24.752,32.417,2278.898,0.281,0.286,0.95
3/5/2021,4421850,1649,2129.143,153863,17,18.714,65500.218,24.426,31.539,2279.15,0.252,0.277,0.96
4/5/2021,4423796,1946,2023.571,153878,15,17.286,65529.043,28.826,29.975,2279.372,0.222,0.256,0.97
5/5/2021,4425940,2144,2020.429,153900,22,17.429,65560.802,31.759,29.928,2279.698,0.326,0.258,0.98
6/5/2021,4428553,2613,2044.429,153917,17,17.429,65599.508,38.706,30.284,2279.95,0.252,0.258,0.99
7/5/2021,4431043,2490,2060,153935,18,17.714,65636.392,36.884,30.514,2280.217,0.267,0.262,1
8/5/2021,4433090,2047,2080,153955,20,18.286,65666.714,30.322,30.811,2280.513,0.296,0.271,1.01
9/5/2021,4434860,1770,2094.143,153966,11,17.143,65692.933,26.219,31.02,2280.676,0.163,0.254,1.02
10/5/2021,4437217,2357,2195.286,153974,8,15.857,65727.847,34.914,32.518,2280.794,0.119,0.235,1.03
11/5/2021,4439691,2474,2270.714,153995,21,16.714,65764.494,36.647,33.636,2281.105,0.311,0.248,1.04
12/5/2021,4441975,2284,2290.714,154010,15,15.714,65798.326,33.833,33.932,2281.328,0.222,0.233,1.05
13/5/2021,4444631,2656,2296.857,154025,15,15.429,65837.669,39.343,34.023,2281.55,0.222,0.229,1.06
14/5/2021,4446824,2193,2254.429,154039,14,14.857,65870.154,32.485,33.395,2281.757,0.207,0.22,1.06
15/5/2021,4448851,2027,2251.571,154054,15,14.143,65900.179,30.026,33.352,2281.979,0.222,0.209,1.08
16/5/2021,4450777,1926,2273.857,154068,14,14.571,65928.709,28.53,33.682,2282.187,0.207,0.216,1.09
17/5/2021,4452756,1979,2219.857,154081,13,15.286,65958.024,29.315,32.882,2282.379,0.193,0.226,1.1
18/5/2021,4450392,,,154092,11,13.857,65923.006,,,2282.542,0.163,0.205,1.12
19/5/2021,4452527,2135,1845.143,154096,4,12.286,65954.632,31.625,27.332,2282.602,0.059,0.182,1.14
20/5/2021,4455221,2694,1850.571,154103,7,11.143,65994.537,39.906,27.412,2282.705,0.104,0.165,1.15
21/5/2021,4457923,2702,1923.286,154121,18,11.714,66034.562,40.024,28.489,2282.972,0.267,0.174,1.17
22/5/2021,4460446,2523,1994.143,154125,4,10.143,66071.935,37.373,29.539,2283.031,0.059,0.15,1.18
23/5/2021,4462538,2092,2017.857,154141,16,10.429,66102.923,30.988,29.89,2283.268,0.237,0.154,1.19
24/5/2021,4464900,2362,2072.571,154157,16,10.857,66137.911,34.988,30.701,2283.505,0.237,0.161,1.21
25/5/2021,4467310,2410,2416.857,154168,11,10.857,66173.61,35.699,35.801,2283.668,0.163,0.161,1.22
26/5/2021,4470297,2987,2538.571,154182,14,12.286,66217.856,44.246,37.603,2283.875,0.207,0.182,1.24
27/5/2021,4473677,3380,2636.571,154190,8,12.429,66267.923,50.067,39.055,2283.994,0.119,0.184,1.25
28/5/2021,4477705,4028,2826,154204,14,11.857,66327.59,59.666,41.861,2284.201,0.207,0.176,1.26
29/5/2021,4480945,3240,2928.429,154216,12,13,66375.583,47.994,43.378,2284.379,0.178,0.193,1.28
30/5/2021,4484056,3111,3074,154225,9,12,66421.666,46.083,45.535,2284.512,0.133,0.178,1.29
31/5/2021,4487339,3283,3205.571,154236,11,11.286,66470.297,48.631,47.484,2284.675,0.163,0.167,1.3
1/6/2021,4490438,3099,3304,154246,10,11.143,66516.202,45.905,48.942,2284.823,0.148,0.165,1.31
2/6/2021,4494699,4261,3486,154258,12,10.857,66579.319,63.118,51.638,2285.001,0.178,0.161,1.32
3/6/2021,4499878,5179,3743,154274,16,12,66656.035,76.716,55.445,2285.238,0.237,0.178,1.34
4/6/2021,4506018,6140,4044.714,154288,14,12,66746.986,90.951,59.914,2285.446,0.207,0.178,1.35
5/6/2021,4511669,5651,4389.143,154295,7,11.286,66830.693,83.707,65.016,2285.549,0.104,0.167,1.36
6/6/2021,4516892,5223,4690.857,154308,13,11.857,66908.061,77.368,69.485,2285.742,0.193,0.176,1.36
7/6/2021,4522476,5584,5019.571,154314,6,11.143,66990.776,82.715,74.354,2285.831,0.089,0.165,1.36
8/6/2021,4528442,5966,5429.143,154329,15,11.857,67079.149,88.373,80.421,2286.053,0.222,0.176,1.36
9/6/2021,4535754,7312,5865,154346,17,12.571,67187.461,108.312,86.877,2286.305,0.252,0.186,1.36
10/6/2021,4542986,7232,6158.286,154362,16,12.571,67294.587,107.127,91.222,2286.542,0.237,0.186,1.36
11/6/2021,4550944,7958,6418,154375,13,12.429,67412.468,117.881,95.069,2286.734,0.193,0.184,1.36
12/6/2021,4558494,7550,6689.286,154387,12,13.143,67524.305,111.837,99.087,2286.912,0.178,0.195,1.36
13/6/2021,4565813,7319,6988.714,154399,12,13,67632.721,108.415,103.523,2287.09,0.178,0.193,1.36
14/6/2021,4573419,7606,7277.571,154412,13,14,67745.387,112.667,107.802,2287.282,0.193,0.207,1.36
15/6/2021,4581006,7587,7509.143,154433,21,14.857,67857.772,112.385,111.232,2287.593,0.311,0.22,1.36
16/6/2021,4589814,8808,7722.857,154449,16,14.714,67988.244,130.472,114.398,2287.83,0.237,0.218,1.36
17/6/2021,4600623,10809,8233.857,154458,9,13.714,68148.356,160.112,121.967,2287.964,0.133,0.203,1.37
18/6/2021,4610893,10270,8564.143,154476,18,14.429,68300.484,152.128,126.859,2288.23,0.267,0.214,1.37
19/6/2021,4620968,10075,8924.857,154496,20,15.571,68449.723,149.24,132.203,2288.527,0.296,0.231,1.37
20/6/2021,4630040,9072,9175.286,154518,22,17,68584.106,134.382,135.912,2288.853,0.326,0.252,1.38
21/6/2021,4640507,10467,9584,154531,13,17,68739.152,155.046,141.966,2289.045,0.193,0.252,1.39
22/6/2021,4651988,11481,10140.286,154549,18,16.571,68909.218,170.066,150.207,2289.312,0.267,0.245,1.39
23/6/2021,4667870,15882,11150.857,154558,9,15.571,69144.476,235.258,165.176,2289.445,0.133,0.231,1.4
24/6/2021,4684572,16702,11992.714,154587,29,18.429,69391.88,247.404,177.646,2289.875,0.43,0.273,1.4
25/6/2021,4699868,15296,12710.714,154609,22,19,69618.458,226.577,188.282,2290.201,0.326,0.281,1.41
26/6/2021,4717811,17943,13834.714,154626,17,18.571,69884.245,265.787,204.932,2290.452,0.252,0.275,1.41
27/6/2021,4732434,14623,14627.714,154650,24,18.857,70100.853,216.608,216.678,2290.808,0.356,0.279,1.41
28/6/2021,4755078,22644,16367.286,154668,18,19.571,70436.275,335.422,242.446,2291.074,0.267,0.29,1.41
29/6/2021,4775301,20223,17616.143,154692,24,20.429,70735.836,299.56,260.945,2291.43,0.356,0.303,1.4
30/6/2021,4800907,25606,19005.286,154718,26,22.857,71115.134,379.298,281.523,2291.815,0.385,0.339,1.4
1/7/2021,4828463,27556,20555.857,154746,28,22.714,71523.317,408.183,304.491,2292.23,0.415,0.336,1.39
2/7/2021,4855169,26706,22185.857,154778,32,24.143,71918.909,395.592,328.636,2292.704,0.474,0.358,1.38
3/7/2021,4879616,24447,23115,154809,31,26.143,72281.038,362.13,342.399,2293.163,0.459,0.387,1.36
4/7/2021,4903434,23818,24428.571,154839,30,27,72633.851,352.813,361.857,2293.607,0.444,0.4,1.35
5/7/2021,4930534,27100,25065.143,154868,29,28.571,73035.279,401.428,371.286,2294.037,0.43,0.423,1.34
6/7/2021,4958868,28334,26223.857,154903,35,30.143,73454.987,419.707,388.45,2294.555,0.518,0.447,1.33
7/7/2021,4990916,32048,27144.143,154939,36,31.571,73929.709,474.722,402.082,2295.089,0.533,0.468,1.32
8/7/2021,5022893,31977,27775.714,154981,42,33.571,74403.38,473.671,411.438,2295.711,0.622,0.497,1.31
9/7/2021,5058093,35200,28989.143,155034,53,36.571,74924.792,521.412,429.412,2296.496,0.785,0.542,1.3
10/7/2021,5089893,31800,30039.571,155079,45,38.571,75395.841,471.049,444.972,2297.163,0.667,0.571,1.28
11/7/2021,5121245,31352,31115.857,155115,36,39.429,75860.254,464.413,460.915,2297.696,0.533,0.584,1.27
12/7/2021,5155243,33998,32101.286,155158,43,41.429,76363.861,503.607,475.512,2298.333,0.637,0.614,1.26
13/7/2021,5191459,36216,33227.286,155208,50,43.571,76900.323,536.462,492.191,2299.073,0.741,0.645,1.25
14/7/2021,5233207,41748,34613,155255,47,45.143,77518.73,618.407,512.717,2299.77,0.696,0.669,1.24
15/7/2021,5281098,47891,36886.429,155309,54,46.857,78228.133,709.402,546.393,2300.57,0.8,0.694,1.22
16/7/2021,5332371,51273,39182.571,155364,55,47.143,78987.632,759.499,580.406,2301.384,0.815,0.698,1.21
17/7/2021,5386340,53969,42349.571,155424,60,49.286,79787.067,799.435,627.318,2302.273,0.889,0.73,1.19
18/7/2021,5433939,47599,44670.571,155497,73,54.571,80492.144,705.077,661.699,2303.354,1.081,0.808,1.16
19/7/2021,5473477,39538,45462,155585,88,61,81077.815,585.671,673.422,2304.658,1.304,0.904,1.13
20/7/2021,5519602,46125,46877.571,155653,68,63.571,81761.058,683.243,694.391,2305.665,1.007,0.942,1.1
21/7/2021,5563006,43404,47114.143,155714,61,65.571,82403.995,642.937,697.895,2306.569,0.904,0.971,1.08
22/7/2021,5602321,39315,45889,155800,86,70.143,82986.362,582.367,679.747,2307.843,1.274,1.039,1.05
23/7/2021,5637975,35654,43657.714,155883,83,74.143,83514.499,528.137,646.695,2309.072,1.229,1.098,1.02
24/7/2021,5669260,31285,40417.143,155952,69,75.429,83977.92,463.42,598.693,2310.094,1.022,1.117,1
25/7/2021,5697912,28652,37710.429,156025,73,75.429,84402.337,424.418,558.599,2311.176,1.081,1.117,0.98
26/7/2021,5722298,24386,35545.857,156104,79,74.143,84763.564,361.226,526.536,2312.346,1.17,1.098,0.97
27/7/2021,5745526,23228,32274.857,156181,77,75.429,85107.637,344.073,478.083,2313.486,1.141,1.117,0.96
28/7/2021,5770928,25402,29703.143,156265,84,78.714,85483.913,376.276,439.988,2314.731,1.244,1.166,0.95
29/7/2021,5801561,30633,28462.857,156353,88,79,85937.675,453.762,421.616,2316.034,1.304,1.17,0.94
30/7/2021,5830774,29213,27542.714,156458,105,82.143,86370.403,432.728,407.986,2317.589,1.555,1.217,0.94
31/7/2021,5856528,25754,26752.571,156550,92,85.429,86751.893,381.49,396.282,2318.952,1.363,1.265,0.94
1/8/2021,5880667,24139,26107.857,156647,97,88.857,87109.461,357.567,386.732,2320.389,1.437,1.316,0.94
2/8/2021,5902354,21687,25722.286,156739,92,90.714,87430.707,321.246,381.02,2321.752,1.363,1.344,0.95
3/8/2021,5923820,21466,25470.571,156819,80,91.143,87748.68,317.973,377.292,2322.937,1.185,1.35,0.95
4/8/2021,5952756,28936,25975.429,156911,92,92.286,88177.304,428.625,384.77,2324.3,1.363,1.367,0.96
5/8/2021,5982581,29825,25860,157012,101,94.143,88619.098,441.793,383.06,2325.796,1.496,1.395,0.97
6/8/2021,6014023,31442,26178.429,157110,98,93.143,89084.844,465.746,387.777,2327.247,1.452,1.38,0.97
7/8/2021,6042252,28229,26532,157216,106,95.143,89502.996,418.152,393.015,2328.818,1.57,1.409,0.98
8/8/2021,6069362,27110,26956.429,157300,84,93.286,89904.572,401.576,399.302,2330.062,1.244,1.382,0.98
9/8/2021,6094243,24881,27412.714,157384,84,92.143,90273.131,368.559,406.061,2331.306,1.244,1.365,0.99
10/8/2021,6117540,23297,27674.286,157469,85,92.857,90618.226,345.095,409.935,2332.565,1.259,1.375,1
11/8/2021,6146800,29260,27720.571,157558,89,92.429,91051.65,433.424,410.621,2333.884,1.318,1.369,1
12/8/2021,6179506,32706,28132.143,157664,106,93.143,91536.119,484.469,416.717,2335.454,1.57,1.38,1.01
13/8/2021,6211868,32362,28263.571,157762,98,93.143,92015.493,479.374,418.664,2336.905,1.452,1.38,1.01
14/8/2021,6241011,29143,28394.143,157866,104,92.857,92447.184,431.691,420.598,2338.446,1.541,1.375,1.02
15/8/2021,6267437,26426,28296.429,157957,91,93.857,92838.628,391.444,419.151,2339.794,1.348,1.39,1.02
16/8/2021,6295613,28176,28767.143,158046,89,94.571,93255.995,417.367,426.123,2341.112,1.318,1.401,1.03
17/8/2021,6322241,26628,29243,158148,102,97,93650.432,394.437,433.172,2342.623,1.511,1.437,1.03
18/8/2021,6355887,33646,29869.571,158259,111,100.143,94148.825,498.393,442.454,2344.267,1.644,1.483,1.04
19/8/2021,6392160,36273,30379.143,158374,115,101.429,94686.132,537.307,450.002,2345.971,1.703,1.502,1.04
20/8/2021,6429147,36987,31039.857,158501,127,105.571,95234.015,547.883,459.789,2347.852,1.881,1.564,1.04
21/8/2021,6460930,31783,31417,158619,118,107.571,95704.812,470.797,465.375,2349.6,1.748,1.593,1.04
22/8/2021,6492906,31976,32209.857,158748,129,113,96178.467,473.656,477.12,2351.511,1.911,1.674,1.05
23/8/2021,6524581,31675,32709.714,158868,120,117.429,96647.665,469.197,484.524,2353.288,1.778,1.739,1.05
24/8/2021,6555200,30619,33279.857,158986,118,119.714,97101.219,453.555,492.97,2355.036,1.748,1.773,1.04
25/8/2021,6590747,35547,33551.429,159094,108,119.286,97627.772,526.553,496.992,2356.636,1.6,1.767,1.04
26/8/2021,6628709,37962,33792.714,159219,125,120.714,98190.097,562.326,500.567,2358.488,1.852,1.788,1.04
27/8/2021,6666399,37690,33893.143,159358,139,122.429,98748.394,558.296,502.054,2360.547,2.059,1.814,1.04
28/8/2021,6698486,32087,33936.571,159492,134,124.714,99223.694,475.3,502.697,2362.532,1.985,1.847,1.04
29/8/2021,6731423,32937,34073.857,159631,139,126.143,99711.585,487.891,504.731,2364.591,2.059,1.869,1.04
30/8/2021,6757650,26227,33295.571,159740,109,124.571,100100.082,388.497,493.202,2366.205,1.615,1.845,1.03
31/8/2021,6789581,31931,33483,159868,128,126,100573.071,472.989,495.979,2368.101,1.896,1.866,1.04
1/9/2021,6825074,35493,33475.286,159993,125,128.429,101098.823,525.753,495.865,2369.953,1.852,1.902,1.04
